                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75253,                 0.5802,                 0.9974,                0.76324,                0.77528,                0.82084,                0.68588,                0.63168,                0.44974,                0.94367,             0.00060303,             0.00060303,             0.00060303
                     36,                0.74687,                0.57685,                0.99608,                0.79383,                0.75054,                0.83143,                 0.6969,                0.62422,                0.43977,                0.94219,             0.00059403,             0.00059403,             0.00059403
                     37,                0.74841,                0.57712,                0.99589,                0.80501,                0.74443,                0.82528,                0.69237,                0.61974,                0.44255,                0.94307,             0.00058503,             0.00058503,             0.00058503
                     38,                0.74574,                0.57237,                0.99426,                0.78952,                0.77278,                0.82435,                 0.6945,                0.62679,                0.43949,                0.93691,             0.00057603,             0.00057603,             0.00057603
                     39,                0.74599,                0.56723,                0.98985,                0.80512,                0.76475,                0.83114,                0.70121,                0.61316,                0.43389,                0.93352,             0.00056703,             0.00056703,             0.00056703
                     40,                0.74139,                0.56076,                0.99004,                0.78891,                0.76758,                0.82862,                0.69686,                0.62334,                0.44337,                0.93729,             0.00055804,             0.00055804,             0.00055804
                     41,                0.73773,                0.56124,                0.98986,                0.77206,                0.76679,                0.82436,                0.69318,                0.61586,                0.43712,                0.94002,             0.00054904,             0.00054904,             0.00054904
                     42,                0.73896,                0.55878,                0.99138,                0.77365,                0.78228,                0.82705,                0.69549,                0.62249,                   0.44,                0.93881,             0.00054004,             0.00054004,             0.00054004
                     43,                0.73562,                 0.5533,                0.98853,                0.77058,                0.77968,                0.82531,                0.69642,                0.61445,                0.43708,                0.93817,             0.00053104,             0.00053104,             0.00053104
                     44,                0.73725,                0.55499,                0.99009,                0.80486,                0.75655,                0.82354,                0.69351,                0.61586,                0.43494,                0.92962,             0.00052204,             0.00052204,             0.00052204
                     45,                0.73586,                0.55345,                0.98898,                0.76993,                0.78557,                0.82915,                0.69843,                0.61451,                0.43542,                0.93492,             0.00051304,             0.00051304,             0.00051304
                     46,                0.73593,                0.55127,                0.98906,                0.81432,                0.76498,                 0.8312,                0.70069,                0.61813,                0.42827,                0.93784,             0.00050404,             0.00050404,             0.00050404
                     47,                0.73089,                0.54544,                0.98527,                0.78274,                0.76654,                0.82402,                0.69616,                0.61142,                0.42767,                0.92861,             0.00049504,             0.00049504,             0.00049504
                     48,                0.73173,                0.54386,                0.98528,                0.79053,                0.77523,                0.83452,                0.70382,                0.61308,                0.42826,                0.93318,             0.00048604,             0.00048604,             0.00048604
                     49,                0.73109,                0.54275,                0.98266,                0.81087,                0.74671,                0.83093,                0.70262,                 0.6074,                 0.4256,                0.92841,             0.00047704,             0.00047704,             0.00047704
                     50,                0.72803,                0.53977,                0.98292,                0.78524,                0.76508,                0.83328,                0.70301,                0.61766,                0.42677,                0.93022,             0.00046804,             0.00046804,             0.00046804
                     51,                0.72471,                0.53339,                 0.9821,                0.82412,                0.74665,                0.83187,                0.70465,                 0.6093,                0.42547,                 0.9334,             0.00045904,             0.00045904,             0.00045904
                     52,                0.72102,                0.53439,                0.97955,                0.76918,                0.78795,                 0.8339,                0.70449,                0.61279,                 0.4214,                0.92881,             0.00045005,             0.00045005,             0.00045005
                     53,                0.72202,                 0.5312,                0.98058,                0.77208,                0.79808,                0.83235,                 0.7045,                  0.611,                0.42271,                0.92946,             0.00044105,             0.00044105,             0.00044105
                     54,                0.72717,                0.53151,                0.98068,                0.78725,                0.77596,                0.83236,                0.70418,                0.60883,                 0.4201,                0.92694,             0.00043205,             0.00043205,             0.00043205
                     55,                0.72309,                0.52229,                  0.981,                0.78906,                 0.7772,                0.83186,                0.70718,                0.59973,                0.42105,                0.92731,             0.00042305,             0.00042305,             0.00042305
                     56,                 0.7225,                0.52578,                0.98017,                 0.8008,                0.76293,                0.83757,                0.71156,                0.59855,                0.42137,                0.92552,             0.00041405,             0.00041405,             0.00041405
